index,timestamp_start,timestamp_end,seconds,f_stop,shutter_speed,iso,ev,height_m,distance_m,horizontal_speed_ms,descent_speed_ms,longitude,latitude,zoom
1,"00:00:00,000","00:00:00,533",0.0,1.8,1/1575,114,0.0,18.0,0.0,1.9,0.0,-119.937035,37.56876,1.2
2,"00:00:00,533","00:00:01,066",0.533,1.8,1/1575,114,0.0,18.0,0.0,1.9,0.0,-119.937035,37.56876,1.2
3,"00:00:01,066","00:00:01,599",1.066,1.8,1/1575,114,0.0,20.0,0.1,2.0,0.1,-119.937035,37.56876,1.2
4,"00:00:01,599","00:00:02,132",1.599,1.8,1/1575,114,0.0,20.0,0.1,2.0,0.1,-119.937035,37.56876,1.2
5,"00:00:02,132","00:00:02,665",2.132,1.8,1/1575,114,0.0,22.0,0.1,1.9,0.1,-119.937035,37.56876,1.2
6,"00:00:02,665","00:00:03,198",2.665,1.8,1/1575,114,0.0,24.0,0.0,2.0,0.0,-119.937035,37.56876,1.2
7,"00:00:03,198","00:00:03,731",3.198,1.8,1/1575,114,0.0,24.0,0.0,2.0,0.0,-119.937035,37.56876,1.2
8,"00:00:03,731","00:00:04,264",3.731,1.8,1/1575,114,0.0,26.0,0.0,1.9,0.0,-119.937035,37.56876,1.2
9,"00:00:04,264","00:00:04,797",4.264,1.8,1/1575,114,0.0,26.0,0.0,1.9,0.0,-119.937035,37.56876,1.2
10,"00:00:04,797","00:00:05,331",4.797,1.8,1/1575,114,0.0,28.0,0.9,1.9,3.0,-119.937035,37.568752,1.2
11,"00:00:05,331","00:00:05,864",5.331,1.8,1/1575,114,0.0,28.0,0.9,1.9,3.0,-119.937035,37.568752,1.2
12,"00:00:05,864","00:00:06,397",5.864,1.8,1/1575,114,0.0,31.0,4.6,2.1,4.7,-119.937027,37.568722,1.2
13,"00:00:06,397","00:00:06,930",6.397,1.8,1/1575,114,0.0,31.0,4.6,2.1,4.7,-119.937027,37.568722,1.2
14,"00:00:06,930","00:00:07,463",6.93,1.8,1/1575,114,0.0,33.0,10.3,2.0,6.1,-119.936996,37.568672,1.2
15,"00:00:07,463","00:00:07,996",7.463,1.8,1/1575,114,0.0,33.0,10.3,2.0,6.1,-119.936996,37.568672,1.2
16,"00:00:07,996","00:00:08,529",7.996,1.8,1/1575,114,0.0,35.0,17.7,1.9,5.9,-119.936974,37.568611,1.2
17,"00:00:08,529","00:00:09,062",8.529,1.8,1/1575,114,0.0,35.0,17.7,1.9,5.9,-119.936974,37.568611,1.2
18,"00:00:09,062","00:00:09,595",9.062,1.8,1/1575,114,0.0,37.0,22.0,2.0,6.0,-119.936951,37.568569,1.2
19,"00:00:09,595","00:00:10,129",9.595,1.8,1/1575,114,0.0,37.0,22.0,2.0,6.0,-119.936951,37.568569,1.2
20,"00:00:10,129","00:00:10,662",10.129,1.8,1/1575,114,0.0,39.0,28.0,1.9,5.9,-119.93692,37.568523,1.2
21,"00:00:10,662","00:00:11,195",10.662,1.8,1/1575,114,0.0,41.0,34.0,1.9,6.0,-119.936897,37.56847,1.2
22,"00:00:11,195","00:00:11,728",11.195,1.8,1/1575,114,0.0,41.0,34.0,1.9,6.0,-119.936897,37.56847,1.2
23,"00:00:11,728","00:00:12,261",11.728,1.8,1/1575,114,0.0,41.0,34.0,1.9,6.0,-119.936897,37.56847,1.2
24,"00:00:12,261","00:00:12,794",12.261,1.8,1/1575,114,0.0,44.0,41.0,2.0,5.9,-119.936867,37.568409,1.2
25,"00:00:12,794","00:00:13,327",12.794,1.8,1/1575,114,0.0,45.0,45.0,0.5,3.9,-119.936859,37.568371,1.2
26,"00:00:13,327","00:00:13,860",13.327,1.8,1/1550,113,0.0,45.0,45.0,0.5,3.9,-119.936859,37.568371,1.2
27,"00:00:13,860","00:00:14,393",13.86,1.8,1/1477,115,0.0,45.0,48.0,0.0,0.4,-119.936844,37.568356,1.2
28,"00:00:14,393","00:00:14,926",14.393,1.8,1/1477,115,0.0,45.0,48.0,0.0,0.4,-119.936844,37.568356,1.2
29,"00:00:14,926","00:00:15,460",14.926,1.8,1/1477,115,0.0,45.0,48.0,0.0,0.1,-119.936844,37.568352,1.2
30,"00:00:15,460","00:00:15,993",15.46,1.8,1/1477,115,0.0,45.0,48.0,0.0,0.1,-119.936844,37.568352,1.2
31,"00:00:15,993","00:00:16,526",15.993,,,,,,,,,,,
32,"00:00:16,526","00:00:17,059",16.526,,,,,,,,,,,
33,"00:00:17,059","00:00:17,592",17.059,1.8,1/1658,114,0.0,45.0,48.0,0.0,1.0,-119.936844,37.568352,1.2
34,"00:00:17,592","00:00:18,125",17.592,,,,,,,,,,,
35,"00:00:18,125","00:00:18,658",18.125,,,,,,,,,,,
36,"00:00:18,658","00:00:19,191",18.658,,,,,,,,,,,
37,"00:00:19,191","00:00:19,724",19.191,,,,,,,,,,,
38,"00:00:19,724","00:00:20,258",19.724,1.8,1/2488,115,0.0,45.0,56.0,0.0,5.8,-119.936714,37.568325,1.2
39,"00:00:20,258","00:00:20,791",20.258,1.8,1/2488,115,0.0,45.0,56.0,0.0,5.8,-119.936714,37.568325,1.2
40,"00:00:20,791","00:00:21,324",20.791,1.8,1/2488,115,0.0,45.0,58.0,0.0,5.6,-119.936653,37.568329,1.2
41,"00:00:21,324","00:00:21,857",21.324,1.8,1/2053,115,0.0,45.0,58.0,0.0,5.6,-119.936653,37.568329,1.2
42,"00:00:21,857","00:00:22,390",21.857,1.8,1/1603,114,0.0,45.0,59.0,0.0,5.7,-119.936592,37.568359,1.2
43,"00:00:22,390","00:00:22,923",22.39,1.8,1/1332,114,0.0,45.0,59.0,0.0,5.7,-119.936592,37.568359,1.2
44,"00:00:22,923","00:00:23,456",22.923,1.8,1/1196,114,0.0,45.0,58.0,0.6,5.6,-119.936562,37.568401,1.2
45,"00:00:23,456","00:00:23,989",23.456,1.8,1/1182,114,0.0,45.0,58.0,0.6,5.6,-119.936562,37.568401,1.2
46,"00:00:23,989","00:00:24,522",23.989,1.8,1/1182,114,0.0,46.0,54.0,0.7,3.6,-119.936554,37.568451,1.2
47,"00:00:24,522","00:00:25,056",24.522,1.8,1/1182,114,0.0,46.0,54.0,0.7,3.6,-119.936554,37.568451,1.2
48,"00:00:25,056","00:00:25,589",25.056,1.8,1/1182,114,0.0,48.0,53.0,1.9,0.7,-119.936562,37.56847,1.2
49,"00:00:25,589","00:00:26,122",25.589,1.8,1/1182,114,0.0,50.0,53.0,2.0,0.1,-119.936562,37.568474,1.2
50,"00:00:26,122","00:00:26,655",26.122,1.8,1/1182,114,0.0,50.0,53.0,2.0,0.1,-119.936562,37.568474,1.2
51,"00:00:26,655","00:00:27,188",26.655,1.8,1/1182,114,0.0,50.0,53.0,2.0,0.1,-119.936562,37.568474,1.2
52,"00:00:27,188","00:00:27,721",27.188,1.8,1/1182,114,0.0,51.0,53.0,0.1,0.8,-119.936562,37.568474,1.2
53,"00:00:27,721","00:00:28,254",27.721,1.8,1/1182,114,0.0,52.0,54.0,0.0,3.3,-119.936539,37.568481,1.2
54,"00:00:28,254","00:00:28,787",28.254,1.8,1/1182,114,0.0,52.0,54.0,0.0,3.3,-119.936539,37.568481,1.2
55,"00:00:28,787","00:00:29,320",28.787,,,,,,,,,,,
56,"00:00:29,320","00:00:29,853",29.32,,,,,,,,,,,
57,"00:00:29,853","00:00:30,387",29.853,,,,,,,,,,,
58,"00:00:30,387","00:00:30,920",30.387,,,,,,,,,,,
59,"00:00:30,920","00:00:31,453",30.92,,,,,,,,,,,
60,"00:00:31,453","00:00:31,986",31.453,,,,,,,,,,,
61,"00:00:31,986","00:00:32,519",31.986,,,,,,,,,,,
62,"00:00:32,519","00:00:33,052",32.519,,,,,,,,,,,
63,"00:00:33,052","00:00:33,585",33.052,,,,,,,,,,,
64,"00:00:33,585","00:00:34,118",33.585,,,,,,,,,,,
65,"00:00:34,118","00:00:34,651",34.118,1.8,1/1062,113,0.0,46.0,72.0,0.6,5.3,-119.936234,37.568653,1.2
66,"00:00:34,651","00:00:35,185",34.651,1.8,1/1062,113,0.0,46.0,72.0,0.6,5.3,-119.936234,37.568653,1.2
67,"00:00:35,185","00:00:35,718",35.185,,,,,,,,,,,
